"品番","バーコード","品名","規格1","規格2","ロット","消費期限","在庫区分","総在庫数","在庫数","ロケーション"
"TOA-TM-PPHOK-002","4580743146730","G ポップフック リス グレー","","","","","新品","197","197","E-15-1"
"TOA-TM-PPNST-001","4580743148826","ピンポンセット","","","","","新品","90","90","C-09-2"
"TOA-TM-PPTWL-002","4582667358770","NEW 環境にやさしいペーパータオル 150枚","","","","","新品","6887","6887","105-XX-01-1"
"TOA-TM-PSPOP-015","4580743144514","ハッピーポップ ハンバーガーバッグ","","","","","新品","220","60","C-22-2"
"TOA-TM-PT-CATRT-001","4582667345152","キャットリボントイ(ブルー)","","","","","新品","196","196","D-19-3"
"TOA-TM-PT-CATTL-006","4582667347057","宇宙船ネコタワー","","","","","新品","3","3","B-19-1"
"TOA-TM-PT-CATTL-009","4582667351375","ねこスタンディングつめとぎ","","","","","新品","147","12","C-05-2"
"TOA-TM-PT-JKJWB-001","4582667350675","ペット自動給水循環ウォーターボウル","","","","","新品","78","78","A-08-1"
"TOA-TM-PT-MNROM-001","4582667348498","ペットマナーおむつ(オス)","","","","","新品","18","18","C-01-1"
"TOA-TM-PT-MNROM-003","4582667355991","ペットマナーおむつ(オス)M","","","","","新品","2213","2213","105-XX-01-1"
"TOA-TM-PT-OKCTS-001","4582667355830","おからのねこ砂 6L","","","","","新品","3536","176","A-01-1"
"TOA-TM-PT-PETBH-001","4582667350989","ペット用バスヘッド","","","","","新品","38","38","D-09-2"
"TOA-TM-PT-PTFCC-001","4582667353782","ペットフードクリップカップ","","","","","新品","51","51","B-20-1"
"TOA-TM-PT-RSMES-001","4582667352037","ペット用リュックサック","","","","","新品","36","36","E-03-3"
"TOA-TM-PT-SRMBL-001","4582667343509","ペット用フードスタンド","","","","","新品","639","9","D-02-1"
"TOA-TM-PT-TBSET-001","4582667358480","ペット用歯ブラシセット","","","","","新品","1272","1272","C-04-1"
"TOA-TM-PT-UNCHR-002","4582667347620","ウンチキャッチャー(パープル)","","","","","新品","7","7","C-09-1"
"TOA-TM-PTLED-007","4580743143098","犬用3m伸縮リード","","","","","新品","58","58","D-06-1"
"TOA-TM-RNGGM-018","4580743146303","リングゴム12P（ブラック）","","","","","新品","3140","3140","D-22-2"
"TOA-TM-RNGGM-020","4580743146327","リングゴム12P（アソート）","","","","","新品","2159","2159","E-17-2"
"TOA-TM-SF-3DSDR-001","4570140092242","3D振動ローラー","","","","","新品","96","24","C-10-1"
"TOA-TM-SF-BDRRR-002","4582667343257","ボディロール(クリアグリーン)","","","","","新品","160","160","E-20-2"
"TOA-TM-SF-CGCBB-001","4582667341468","色変えてバスケットボール","","","","","新品","71","71","A-11-3"
"TOA-TM-SF-FBTRB-001","4582667342137","足裏ツボ ルフレボード","","","","","新品","1","1","C-12-1"
"TOA-TM-SF-GYLTR-001","4582667352853","ジャイロトレーニング","","","","","新品","134","134","E-15-2"
"TOA-TM-SF-MGUTF-001","4582667353256","ツホボフェイスライン","","","","","新品","214","214","C-05-3"
"TOA-TM-SF-SAETP-002","4582667354628","自着伸縮テーピング2.5cm","","","","","新品","45","45","D-02-3"
"TOA-TM-SF-WTAHP-002","4582667342878","ラインキーパー ウエスト＆ヒップM","","","","","新品","146","146","D-16-2"
"TOA-TM-SF-WTAHP-003","4582667342885","ラインキーパー ウエスト＆ヒップL","","","","","新品","468","108","C-08-2"
"TOA-TM-SF-WTBRT-001","4582667342847","ウェイトベルト 0.5kg","","","","","新品","184","64","B-11-1"
"TOA-TM-SLDOS-001","4580743148666","スライド整理棚","","","","","新品","950","30","C-10-2"
"TOA-TM-SLWTB-004","4580743144293","シリコンウォッチバンドBLACK/WHITE S/M","","","","","新品","91","91","E-16-3"
"TOA-TM-STAMB-001","4580743143531","スマートフォンアームバンド S ブラック","","","","","新品","100","100","B-15-1"
"TOA-TM-STAMB-002","4580743143562","スマートフォンアームバンド L ブラック","","","","","新品","104","104","F-03-1"
"TOA-TM-STLBT-005","4580743142619","ステンレスボトル140ML黒","","","","","新品","269","269","C-09-2"
"TOA-TM-TCRYS-001","4580743143876","三角クレヨン 24 色セット","","","","","新品","44","44","E-08-1"
"TOA-TM-TKNTC-001","4580743140509","多機能収納ティッシュケース(側面タイプ)","","","","","新品","238","22","B-17-1"
"TOA-TM-TVHCB-001","4580743145764","G TVキャストHDMIケーブル 2m","","","","","新品","137","137","C-02-2"
"TOA-TM-UN-SHNBS-001","4580743149052","ネック&ボディ ストレッチャー","","","","","新品","125","45","D-03-2"
"TOA-TM-ZRBWS-001","4580743148093","水切りザルボウルセット","","","","","新品","158","23","D-05-1"
"TOA-TMF-001","4562441907394","サーモフレッシュ","","","","","新品","334","146","B-14-1"
"TOA-WARPK-GY","4582667353188","Warm Pack ウォームパック グレー","","","","","新品","395","395","D-04-2"
"TOA-WARPK-IY","4582667353201","Warm Pack ウォームパック アイボリー","","","","","新品","941","275","D-19-2"
"TOA-WARPK-RD","4582667353195","Warm Pack ウォームパック レッド","","","","","新品","922","177","B-07-2"
"TOA-WARRG-GY-L","4582667351924","Warm Ring ウォームリング グレー(Lサイズ)","","","","","新品","1936","84","B-07-1"
"TOA-WARRG-GY-M","4582667351917","Warm Ring ウォームリング グレー(Mサイズ)","","","","","新品","1496","56","F-05-2"
"TOA-WARRG-IY-L","4582667352518","Warm Ring ウォームリング アイボリー(Lサイズ)","","","","","新品","1752","72","E-19-3"
"TOA-WARRG-IY-M","4582667352501","Warm Ring ウォームリング アイボリー(Mサイズ)","","","","","新品","1308","108","B-11-1"
"TOA-WARRG-PK-L","4582667351894","Warm Ring ウォームリング ピンク(Lサイズ)","","","","","新品","1610","410","B-05-1"
"TOA-WARRG-PK-M","4582667351887","Warm Ring ウォームリング ピンク(Mサイズ)","","","","","新品","3192","312","E-03-2"
"TOM-TM-IR-STSOX-001","4582667342144","シースルーソックス(ホワイト)","","","","","新品","335","335","B-20-3"
"TOM-TM-IR-STSOX-002","4582667342151","シースルーソックス(ブラック)","","","","","新品","87","87","F-03-2"
"TS-2105-001","4580645020985","青汁シャンプー1000ml","","","","","新品","57","57","D-08-1"
"TS-2112-10","4580645021111","Te-Clear ムスク ハンドクリーム","","","","","新品","342","342","直販保留"
"TS-2112-11","4580645021128","Te-Clear(テ クリア)ROSE handcream 75g","","","","","新品","534","534","直販保留"
"TS-2112-12","4580645021135","Te-Clear(テ クリア)yuzu handcream 75g","","","","","新品","538","538","直販保留"
"TS-ES-SHMSK-001","4580645021555","清肺マスク 7枚入 （ホワイト）","","","","","新品","521","521","E-23-3"
"TS-ES-SHMSK-003","4580645021579","清肺マスク 7枚入 （ベージュ）","","","","","新品","29","29","B-23-2"
"TS-ES-SHMSK-004","4580645021586","清肺マスク7枚入（アボカドグリーン）","","","","","新品","9","9","E-04-2"
"TSO-PC-CAM-001","4582667352952","i get eye(超小型Webカメラ)","","","","","新品","434","114","B-22-2"
