"品番","バーコード","品名","規格1","規格2","ロット","消費期限","在庫区分","総在庫数","在庫数","ロケーション"
"TOA-TM-OD-UVCSV-001","4580743149083","サンバイザー 黒","","","","","新品","898","98","B01-5"
"TOA-TM-OD-UVCSV-002","4580743149090","サンバイザー ピンク","","","","","新品","115","115","B01-5"
"TOA-TM-OT-KNPRM-001","4582667343271","口内洗浄機 プレミアムV7","","","","","新品","2","2","B02-1"
"TOA-TM-OT-TKSKR-001","4582667354345","つかいすてカイロ 10個入り","","","","20241130","新品","193","193","C01-5"
"TOA-TM-PC-ADENC-002","4582667356516","アルカリ乾電池（単4形×4本）","","","","","新品","16","16","C01-1"
"TOA-TM-PC-FRDZK-001","4582667346555","for?ts ナイトライト付きワイヤレス充電器","","","","","新品","46","46","A01-5"
"TOA-TM-PC-GMHDS-001","4580743149472","ゲーミングヘッドホン","","","","","新品","2","2","B02-1"
"TOA-TM-PC-LEDRL-002","4582667356196","クリップLEDリングライトプラス 6インチ","","","","","新品","9","9","A01-4"
"TOA-TM-PC-SPSTD-001","4570140090132","折りたたみ式スマホ＆タッブレト","","","","","新品","4","4","A02-5"
"TOA-TM-PC-TWTPN-001","4582667342038","ツーウェイタッチペン","","","","","新品","18","18","B02-1"
"TOA-TM-PC-WEBCC-001","4582667350477","WEBカメラカバー(黒)","","","","","新品","2","2","A02-1"
"TOA-TM-PETST-001","4580743146259","G ペットシーツ レギュラー 超薄型 100枚","","","","","新品","121","121","B01-6"
"TOA-TM-PPHOK-002","4580743146730","G ポップフック リス グレー","","","","","新品","109","109","A01-6"
"TOA-TM-PPTWL-002","4582667358770","NEW 環境にやさしいペーパータオル 150枚","","","","","新品","1730","770","K02-6"
"TOA-TM-PT-OKCTS-001","4582667355830","おからのねこ砂 6L","","","","","新品","40","40","C01-4"
"TOA-TM-S13BY-001","4580743140264","G ブルートゥースイヤホン ホワイト","","","","","新品","143","143","B02-3"
"TOA-TM-SF-WTBRT-001","4582667342847","ウェイトベルト 0.5kg","","","","","新品","29","29","C01-6"
"TOA-TM-SLWTB-004","4580743144293","シリコンウォッチバンドBLACK/WHITE S/M","","","","","新品","24","24","A01-3"
"TOA-TM-SPLES-001","4580743145108","シェイプレスペンシル ブラック","","","","","新品","831","831","C02-5"
"TOA-TM-STAMB-001","4580743143531","スマートフォンアームバンド S ブラック","","","","","新品","2","2","B02-1"
"TOA-TM-SUTCS-005","4582667348122","スーツケースS・M・L","","","","","新品","27","27","MB02-4"
"TOA-TM-TKNTC-002","4580743140516","G 多機能収納ティッシュケース(後タイプ)","","","","","新品","191","191","C01-5"
"TOA-TMF-001","4562441907394","サーモフレッシュ","","","","","新品","459","171","B02-2"
"TOA-WARPK-GY","4582667353188","Warm Pack ウォームパック グレー","","","","","新品","125","125","B01-5"
"TOA-WARPK-IY","4582667353201","Warm Pack ウォームパック アイボリー","","","","","新品","193","193","B01-5"
"TOA-WARPK-RD","4582667353195","Warm Pack ウォームパック レッド","","","","","新品","218","218","B01-5"
"TOA-WARRG-GY-L","4582667351924","Warm Ring ウォームリング グレー(Lサイズ)","","","","","新品","136","136","B01-4"
"TOA-WARRG-GY-M","4582667351917","Warm Ring ウォームリング グレー(Mサイズ)","","","","","新品","119","119","B01-4"
"TOA-WARRG-IY-L","4582667352518","Warm Ring ウォームリング アイボリー(Lサイズ)","","","","","新品","229","229","B01-4"
"TOA-WARRG-IY-M","4582667352501","Warm Ring ウォームリング アイボリー(Mサイズ)","","","","","新品","180","180","B01-4"
"TOA-WARRG-PK-L","4582667351894","Warm Ring ウォームリング ピンク(Lサイズ)","","","","","新品","161","161","B01-4"
"TOA-WARRG-PK-M","4582667351887","Warm Ring ウォームリング ピンク(Mサイズ)","","","","","新品","76","76","B01-4"
"TOAMIT-PCR-K1","4562441908810","新型コロナウイルスPCR検査 唾液採取用検査キット","","","","20241030","新品","88673","556","C02-1"
"TOAMIT500UC","4562441906588","Uruクリンハンドジェル500ml","","","","","新品","6863","1127","LA02-5"
"TOM-TM-IR-STSOX-001","4582667342144","シースルーソックス(ホワイト)","","","","","新品","76","76","B02-4"
"TOWA-21-01-002","4580645020749","Te-Clear カラーチェンジソープ(オレンジ)","","","","","新品","14","14","A01-3"
"TS-2112-03","4580645021104","デリケートゾーンソープ","","","","","新品","48","48","A01-6"
"TS-2112-10","4580645021111","Te-Clear ムスク ハンドクリーム","","","","","新品","23","23","A02-5"
"TS-2112-11","4580645021128","Te-Clear(テ クリア)ROSE handcream 75g","","","","","新品","17","17","A02-5"
"TS-2112-12","4580645021135","Te-Clear(テ クリア)yuzu handcream 75g","","","","","新品","23","23","A02-5"
"TS-2208-02","4580645021432","チアリーフ UVケアクリーム","","","","","新品","940","940","C02-2"
"TS-2212-01","4582667358459","ビタミンC化粧水","","","","","新品","210","210","LC01-1"
"TS-2301-01","4580645021593","葛根バスボール","","","","","新品","240","240","B02-3"
"TS-ES-SHMSK-001","4580645021555","清肺マスク 7枚入 （ホワイト）","","","","","新品","150","150","A02-2"
"TZTFFF002WH","4562441906359","首掛け扇風機 Fans Free(ホワイト)","","","","","新品","1","1","LC01-3"
